marker,feature,n,median,mad,p10,p90,min,max
h05,inner_r,11,0.6611868054988529,0.01946410325072312,0.6236612655656841,0.6760573803801511,0.6211857644270915,0.7006022044532505
h05,inner_t,11,0.00357156857716584,0.009526386780448065,-0.005954818203282225,0.04642456449446003,-0.006077066425783678,0.050112627686766886
h05,outer_r,11,0.8335538602910462,0.027904003485688778,0.8056498568053574,0.8753232518623022,0.7909210316142632,0.8794320145868035
h05,outer_t,11,0.03162756789574209,0.015787909775887954,-0.008708318986216268,0.04860932725217426,-0.038913505877103294,0.04964573007780487
h05,radial_span,11,0.1976001309142073,0.027864863727035616,0.1611525281892039,0.2117072590798017,0.13463258978110204,0.2260938409295693
h05,segmentation_confidence,11,0.758414845083097,0.02979280172772536,0.7286220433553716,0.880157717380547,0.7128031894720093,0.910371129313303
h06,angular_residual_deg,11,-0.032348861153430164,0.3469886859137361,-0.37933754706716627,0.6842176079555387,-1.0575187867890747,1.2663979235959602
h06,anisotropy,11,5.447292139915004,0.5705672918408036,4.454178501478342,9.899716567973313,4.375324792731806,10.292392023346073
h06,area_norm,11,0.024463864211584196,0.0031856651748272853,0.018205710002602942,0.027649529386411482,0.0181687075789594,0.027859557101925787
h06,axis_residual_deg,11,0.010888367147799727,0.5341703388547216,-1.4570689630226212,1.1233445351819142,-1.875578364655297,4.2797668689733825
h06,centre_r,11,0.6870697862397557,0.004685823150178958,0.6658897416697607,0.6917556093899346,0.6626406549610959,0.693751763998236
h06,centre_t,11,-0.00039171649513882823,0.00418824929702338,-0.004579965792162208,0.008208044912912226,-0.012231354883631126,0.014955850470050065
h06,diameter_over_dial,11,0.17645326078282314,0.011173207046940054,0.15225054980293035,0.1876264678297632,0.15209574933659575,0.1883376051677359
h06,inner_r,11,0.5581282784706112,0.0008633798262868142,0.5572648986443244,0.5704620002218609,0.5571674717397506,0.5719045600754392
h06,inner_t,11,-0.021081675003178365,0.014801920783740482,-0.03944186673547557,0.0336805760050254,-0.04927481009156727,0.04311923512739665
h06,outer_r,11,0.8147189922044867,0.002230208112514065,0.7776966685719345,0.8156398617724265,0.7699019977332653,0.8169492003170008
h06,outer_t,11,0.020351009245855853,0.008758864907357007,-0.012315638398833375,0.043757989394937406,-0.049741403625215265,0.04733995356414861
h06,radial_span,11,0.24517307884011214,0.007155097304411051,0.21899349382331645,0.2581683180465495,0.21273452599351467,0.25968775153490786
h06,segmentation_confidence,11,0.8221439700307175,0.05004571605626007,0.7735540697910513,0.9557583220665795,0.7454792226256535,0.9576236707960102
h07,angular_residual_deg,11,0.14485543459873895,0.21778719319668483,-0.27604736941202646,0.46601493946344164,-1.0197829827457383,0.46985524531665135
h07,anisotropy,11,1.385620177751893,0.060084603270203374,1.2239468423831954,1.4457047810220964,1.1699142867809875,1.4688822464931972
h07,area_norm,11,0.019319980037681643,0.0009542601233348408,0.017719635220980048,0.02170510034134815,0.015816694688923844,0.02212646642004927
h07,centre_r,11,0.744804346908619,0.007302181251081397,0.7084658056851808,0.7521065281597004,0.6929605721117511,0.7586135363376245
h07,centre_t,11,0.0018830215444969878,0.002603175842497224,-0.003654979358627186,0.005795202235557073,-0.012339278830643174,0.005831157364375034
h07,diameter_over_dial,11,0.15679067170774258,0.0038749216077193505,0.15020432843841017,0.16623875473723698,0.141904741272349,0.1678460366861887
h07,inner_r,11,0.624172495360078,0.0026703090553104047,0.6217627025338228,0.6669539825119959,0.6215021863047676,0.6704338145053198
h07,inner_t,11,-0.01661364244588237,0.022671891038468284,-0.04386318834642862,0.00714753011013286,-0.05535963605564255,0.0126166405416136
h07,outer_r,11,0.8302383746485047,0.006861917879643631,0.8006429658675931,0.8371002925281483,0.7684769243986342,0.8467017350338999
h07,outer_t,11,0.002601238558747554,0.01048235723121399,-0.030692639325880205,0.013101779308796913,-0.046319223273093485,0.017002801926960964
h07,radial_span,11,0.16925979726504226,0.009620466068728017,0.1626081959707425,0.21260619846451995,0.14697473809386657,0.2235067493561269
h07,segmentation_confidence,11,0.8411226630551334,0.03184544308359771,0.764109465380779,0.8917907413742608,0.7500472482291889,0.9298667332411985
h08,angular_residual_deg,11,0.13249011397866184,0.16045366196593136,-0.1944105173004118,0.678898917089299,-1.2908364933429652,0.7226782631846476
h08,anisotropy,11,1.2562385240912672,0.022944280355657876,1.232543030452595,1.3754320477142765,1.1961613717734345,1.4300252091298433
h08,area_norm,11,0.01921361114269997,0.0013945515345697816,0.016933077354243785,0.020759801632292886,0.015232158714742221,0.02097954023785224
h08,centre_r,11,0.7478410021577864,0.005610926538617833,0.7084103561806305,0.7534519286964042,0.6925875892617934,0.7571734076596849
h08,centre_t,11,0.0017422768428174695,0.0021097783056987507,-0.0025691776958843837,0.008396084808401483,-0.015632270090491868,0.008963378621562601
h08,diameter_over_dial,11,0.15639103758031062,0.005765902416671992,0.14682233206197193,0.16257982771270515,0.1392621766571331,0.16343800127631278
h08,inner_r,11,0.6643084272557781,0.007697657084240306,0.6329010536783352,0.6720060843400184,0.6216158331085269,0.673022711267407
h08,inner_t,11,0.0034464188922388728,0.004366914659336224,-0.003992036120650633,0.01581741996051353,-0.019229363283889245,0.03434791368141632
h08,outer_r,11,0.8307224446740826,0.006631802082336158,0.7847483883104855,0.8373542467564188,0.766432455289558,0.8420660320646575
h08,outer_t,11,0.004786186750196708,0.006896537601597502,-0.004740078353519583,0.014500014566506542,-0.024315583106074706,0.015573852341256605
h08,radial_span,11,0.16532468213759732,0.0035815723045820036,0.1518473346321504,0.17005994772463906,0.14481662218103103,0.17014057978738006
h08,segmentation_confidence,11,0.8673222794131694,0.016427898447189504,0.8474581210234179,0.9124127943314897,0.8403988993752373,0.9135381376143947
h09,angular_residual_deg,11,0.2342427588690441,0.433165675547059,-0.37503996616010227,0.7472496699395492,-2.001570929879108,1.4789303816688175
h09,anisotropy,11,5.668544618021959,0.1104939006802903,5.503739278852503,7.169109145067782,5.306316955860524,10.143396639904392
h09,area_norm,11,0.024877136135251277,0.002216482976870042,0.018073144153069428,0.027120277848392167,0.01744667544789614,0.027350882837816125
h09,axis_residual_deg,11,0.21381617854471813,0.4148392002224739,-0.37315366688662266,0.8538654739302416,-0.6904827524719224,0.9985278550980894
h09,centre_r,11,0.6855515377502258,0.003960185335806554,0.666079613678048,0.688870382550548,0.6641913045430113,0.6931623006621797
h09,centre_t,11,0.0028071655428628137,0.0051540086776895744,-0.004509191026393884,0.008826653292586101,-0.02320674977118812,0.017479726599943745
h09,diameter_over_dial,11,0.17778158019437745,0.007941879717246025,0.15169522679829806,0.18582413788520036,0.14902794473255104,0.18661250122252201
h09,inner_r,11,0.5596556554302099,0.0017008868401952038,0.5576148858778882,0.5617705272333825,0.5575576839700256,0.5723853463885951
h09,inner_t,11,-0.026813776768299775,0.016770126587647365,-0.0460005584561717,0.047118900797980395,-0.05202822283310457,0.06304915380378888
h09,outer_r,11,0.8133958351476589,0.003312132031052184,0.7749278531636452,0.8163729845492803,0.7698810521321573,0.8167079671787111
h09,outer_t,11,0.03120702919549168,0.02095181632168285,-0.013648939393357411,0.05215884551717453,-0.04452854244645191,0.05341285890608263
h09,radial_span,11,0.24863578971633243,0.007348404417377996,0.21448629567477745,0.25598419413371043,0.21166825575549963,0.2582400785752246
h09,segmentation_confidence,11,0.8229730437010825,0.03576169096968829,0.7870279534639696,0.9480394880737097,0.7837232661830413,0.9524045115216395
h10,angular_residual_deg,11,0.05770491182593673,0.13750096883100582,-0.12760604107859308,0.4989352612728908,-1.4688037891965564,0.9087763128807183
h10,anisotropy,11,1.1951947986236908,0.03539806222772102,1.1597967363959698,1.3915476787291365,1.1416446596826204,1.3996157913179483
h10,area_norm,11,0.019185983598234996,0.0009040946154744121,0.01691892860942632,0.020277319707408693,0.014352432280043705,0.020803734034741745
h10,centre_r,11,0.7477417890341449,0.004666839568794545,0.7194858640051449,0.7518440054063763,0.6891924817946884,0.7524086286029394
h10,centre_t,11,0.0007144322520154234,0.0017600487195258696,-0.0016744688087046988,0.006162693662093044,-0.017684057820381238,0.011425424947844376
h10,diameter_over_dial,11,0.15629572298023076,0.0038250574187262687,0.1467713651549063,0.16067914447794296,0.1350569885558352,0.16275176451020737
h10,inner_r,11,0.6616315362755192,0.00686062355270356,0.6418630031517477,0.6684921598282227,0.6212592054315518,0.6686126883420795
h10,inner_t,11,0.0018065775741257506,0.0032018733778420294,-0.008030521099519128,0.005577596564300985,-0.016932874932392705,0.019750520367198016
h10,outer_r,11,0.8307176290012764,0.0061030298400522875,0.7963350173781452,0.8349609556372364,0.7608152458086186,0.8368206588413287
h10,outer_t,11,0.0065557918639791435,0.006570580299424339,-0.004532452210238347,0.016799813873680125,-0.030311969510336767,0.02270917741677303
h10,radial_span,11,0.16285501977635053,0.004877939834838085,0.15076535221028176,0.16820797049924918,0.13955604037706681,0.16908609272575725
h10,segmentation_confidence,11,0.8905845841366478,0.015190076380657946,0.860559643526912,0.9121940598908926,0.8369007395852521,0.9257961184847887
h11,angular_residual_deg,11,0.04853647109399617,0.09127999877608772,-0.08524494369817148,0.3787948224303932,-1.5817437098101266,0.7671629062143097
h11,anisotropy,11,1.16755943828307,0.06472951585124465,1.0909402606345313,1.352297565094356,1.0856650336898244,1.356947800345159
h11,area_norm,11,0.018978956118093547,0.0008331521463998681,0.015631723090827162,0.019838893147724468,0.013559518271970852,0.020401891284774903
h11,centre_r,11,0.7455642535131866,0.005862152692325373,0.7182634884965486,0.7514264062055119,0.6868684476702808,0.7546004972205957
h11,centre_t,11,0.0006290111630064543,0.0012123168355922809,-0.001115459284340925,0.004647993296213182,-0.018960902449340844,0.009767940850522322
h11,diameter_over_dial,11,0.15544062815703807,0.0033849356131791797,0.14107773740598092,0.15893283339454845,0.13119455667823263,0.1611722518647769
h11,inner_r,11,0.6638843278696324,0.005368498334403671,0.6411199291021527,0.669252826204036,0.6212917856119194,0.6717197740336821
h11,inner_t,11,0.002096208721623305,0.003212977648946569,-0.001260377134877505,0.021144843524240675,-0.03056790172367496,0.02301053256872229
