source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-82.50,17,2.056,1.0188
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-75.00,14,1.537,1.0167
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-67.50,22,3.760,1.0248
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-60.00,29,1.216,1.0149
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-52.50,24,3.561,1.0252
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-45.00,24,3.242,1.0241
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-37.50,22,2.979,1.0227
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-30.00,33,1.522,1.0159
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-22.50,18,4.897,1.0314
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-15.00,19,4.735,1.0306
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,2.827,-7.50,19,4.529,1.0297
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,0.00,8,12.745,0.9836
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,15.00,3,14.056,0.9801
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,22.50,3,9.957,1.0094
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,30.00,12,9.030,0.9916
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,45.00,4,7.349,0.9988
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,52.50,16,6.323,1.0040
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,60.00,7,18.051,0.9724
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,67.50,4,15.235,1.0102
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,82.50,4,12.879,1.0364
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,90.00,8,10.654,0.9869
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,112.50,9,8.103,1.0210
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,120.00,4,17.556,0.9784
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,150.00,24,3.398,1.0169
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,172.50,8,7.469,0.9947
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,180.00,8,8.723,0.9909
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-157.50,6,7.941,1.0225
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-150.00,6,6.073,0.9989
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-142.50,7,4.390,1.0056
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-127.50,8,8.961,1.0212
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-120.00,9,4.466,1.0003
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-112.50,3,10.398,1.0080
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-97.50,8,2.865,1.0057
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-60.00,4,3.757,1.0139
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-30.00,3,4.269,1.0191
gen_wex_3KSuGhC,gen_wex_3KSuGhC,3.749,-7.50,3,11.466,0.9918
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,0.00,3,4.640,0.9944
rep_cf_xK08a3L,rep_cf_xK08a3L,3.895,7.50,5,5.415,1.0295
