source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,axis_ratio,dial_radius_px,hour,marker_shape,foreshortened_axis_deg,tilt_alignment_deg,expected_px_x,expected_px_y,detected_px_x,detected_px_y,px_dx,px_dy,px_dist,px_dist_pct_dial_radius,basis_local_radial,basis_local_tangential,radial_current_pct_r,angular_current_deg,area_norm,anisotropy,rotation_deg,jacobian_curvature_frac
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.9847,0.981678,194.408,5,round,9,51,447.847,666.621,453.65,656.66,5.80285,-9.96051,11.5276,5.92957,-0.0308008,-0.0501687,-2.90555,-3.98476,0.00955165,21.6783,,1.37625e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.9847,0.981678,194.408,6,baton,9,81,375.245,671.356,382.639,682.595,7.39438,11.2383,13.4528,6.91986,0.056002,-0.0406477,5.71131,-3.13138,0.00926061,4.58126,1.90307,3.87644e-15
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.9847,0.981678,194.408,8,round,9,39,252.399,606.089,260.509,611.114,8.10981,5.02505,9.54044,4.90743,-0.0252037,-0.0425121,-2.39597,-3.35216,0.0130575,12.8878,,3.15006e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,1,round,356,56,454.227,399.65,453.651,401.005,-0.576281,1.35566,1.47306,0.753043,-0.00747692,0.000838292,-0.747644,0.0645987,0.0160068,1.07215,,1.48439e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,2,round,356,26,508.395,453.045,508.076,454.283,-0.319007,1.2387,1.27912,0.653896,-0.00461781,0.00461839,-0.460352,0.354524,0.0160721,1.03798,,9.78069e-15
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,4,round,356,34,509.711,600.171,509.761,601.654,0.0498649,1.48372,1.48455,0.758917,0.00394985,0.00646659,0.397754,0.49076,0.0167908,1.16176,,1.76553e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,6,baton,356,86,383.232,662.277,381.902,664.239,-1.32996,1.96158,2.36993,1.21153,0.00995425,0.00689888,0.99884,0.56713,0.018986,8.35547,-0.165847,1.99268e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,7,round,356,56,309.83,655.728,308.514,655.924,-1.31542,0.196358,1.32999,0.679906,0.00419027,0.0053676,0.420934,0.407229,0.0181628,1.51673,,1.92464e-14
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,9,baton,356,4,247.852,528.831,245.923,528.208,-1.92914,-0.622465,2.02708,1.03626,0.00984824,0.00326092,0.985587,0.268115,0.0209852,6.54903,0.587798,4.32304e-15
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.50993,0.996904,195.615,10,round,356,34,254.346,455.207,254.048,455.124,-0.297786,-0.0825947,0.309028,0.157978,0.00153431,-0.000384111,0.153441,-0.0292451,0.0168953,1.27128,,1.50442e-14
