marker,feature,n,median,mad,p10,p90,min,max
h02,inner_t,9,0.011373095176581027,0.015635352990467435,-0.017712431194504316,0.03394115830112703,-0.05193805364990389,0.035764966685455604
h02,outer_r,9,0.832108383865831,0.015975424015916895,0.7874081698084923,0.8510502410693316,0.7408086077860754,0.8549482291415054
h02,outer_t,9,0.0048305626935643,0.01190780144262188,-0.01273492050616104,0.058863177718689874,-0.035365647534574884,0.06935617405907532
h02,radial_span,9,0.20090263291923827,0.025477799026109027,0.14937174649062498,0.22784507025832912,0.11956175152230025,0.23370362351025642
h02,segmentation_confidence,9,0.6718022835852816,0.16286212445702986,0.4861168933044069,0.8931936039321909,0.3948238300090273,0.9189773945168872
h04,angular_residual_deg,9,-0.08687949146076335,0.1854218978547273,-0.650251385524939,0.1263303644085305,-1.2384120206385205,0.23748219646679658
h04,anisotropy,9,1.256453510073937,0.0807807068161297,1.21814201429072,1.4855235987914555,1.1579163508435326,1.732279724091451
h04,area_norm,9,0.019517215718788852,0.0011589901427804458,0.016072707735303338,0.020820589976402314,0.01456121331476536,0.02139812643573437
h04,centre_r,9,0.7463632884735076,0.006847137017265914,0.6961679930369267,0.7545599143931965,0.6772864617177183,0.7599578700028882
h04,centre_t,9,-0.0011523502156953191,0.0024452930443363274,-0.008322632334482738,0.0016077726152947838,-0.015151618350653151,0.0028670917619098846
h04,diameter_over_dial,9,0.15763911588272972,0.0046110318594432265,0.14301142439822523,0.16281220129142843,0.13615428805053692,0.1650604154884504
h04,inner_r,9,0.6663057026644497,0.004062082554440849,0.6219899141745905,0.6689489114020339,0.621179729672908,0.674118644367059
h04,inner_t,9,-0.0007984900048153276,0.006873613945340001,-0.009792916887689929,0.008766935794795405,-0.015986757936881535,0.009484294267404991
h04,outer_r,9,0.8304244824352423,0.006070500122915989,0.7753243337513434,0.8384409253884467,0.7418822785729775,0.8462246967096009
h04,outer_t,9,-0.005129660296636751,0.0021689029172835828,-0.011511173382653327,0.00035318530594228344,-0.02756197968702223,0.0025982604918497465
h04,radial_span,9,0.16604558379512147,0.003968302489636866,0.15333441957675292,0.17043231949631504,0.1207025489000696,0.17210605234254184
h04,segmentation_confidence,9,0.8616212330209342,0.01873327332087238,0.8352034538869064,0.8822992944722182,0.8308315041051042,0.8900784469938647
h05,angular_residual_deg,9,0.23543643224409294,0.24337368496217948,-0.43592162047661986,0.6521989222155684,-0.4627462809417011,1.3457541422527513
h05,anisotropy,9,1.4491190295361351,0.11275326388581464,1.188477830815391,1.5682722165149943,1.1188706146984588,1.5938719088871718
h05,area_norm,9,0.019277807327824036,0.0037531927161389977,0.01300769855177774,0.023489193079725974,0.009077832358187899,0.0240017325865612
h05,centre_r,9,0.7469281947678873,0.011335650131867547,0.6900013903289217,0.7595652869975803,0.6748996781353243,0.7647710553888819
h05,centre_t,9,0.0031425697270034414,0.0031519420199764003,-0.005249079759592679,0.008557315765482111,-0.006023058903441569,0.01760853183949118
h05,diameter_over_dial,9,0.15661751097106277,0.0146247627382525,0.12827060994645156,0.17293485609153514,0.10750932582302472,0.1748140585632869
h05,inner_r,9,0.6655155706963242,0.010541809683826897,0.6211284437086454,0.680966345194771,0.6211169696264083,0.7006022044532505
h05,inner_t,9,0.0016985457873597287,0.005865632263345355,-0.008783741045956639,0.015242147869782015,-0.011519630250469481,0.050112627686766886
h05,outer_r,9,0.8273693680141638,0.027121970240060245,0.787840913462516,0.8761450044072024,0.7382149762161654,0.8794320145868035
h05,outer_t,9,0.016912162908839956,0.025358800706183182,-0.018987944207912208,0.04348543208732491,-0.038913505877103294,0.048343305976532
h05,radial_span,9,0.16392715455722762,0.029294564776125576,0.13112280462227377,0.20624661565748403,0.11708366398696074,0.20897314362894437
h05,segmentation_confidence,9,0.8406817224477747,0.06968940686552827,0.7279701844182443,0.8818928293533319,0.7253627486697354,0.910371129313303
h06,angular_residual_deg,9,-0.032348861153430164,0.3469886859137361,-0.4426575062380038,0.8463118043416246,-0.6959373429213542,1.4586852525796274
h06,anisotropy,9,5.182477038246557,0.8071522455147502,3.7152330791524917,9.978251659047865,3.623792684308103,10.292392023346073
h06,area_norm,9,0.02189934758473499,0.004697619428695402,0.01771565424850073,0.02743627873413172,0.015903440926666047,0.027649529386411482
h06,axis_residual_deg,9,0.1368789440286946,0.5814163564175914,-0.4602863242525018,1.7641282152675393,-0.5232819717069219,4.2797668689733825
h06,centre_r,9,0.6881520819319671,0.003603527457967548,0.6594076002408826,0.6921548403115949,0.6466662497349269,0.693751763998236
h06,centre_t,9,-0.00039171649513882823,0.00418824929702338,-0.0052350543219460526,0.010035805409960788,-0.007855408441081431,0.016872506595030916
h06,diameter_over_dial,9,0.16698238035429086,0.01704020024797176,0.15013443497927179,0.18671368287406212,0.14228917754997597,0.1876264678297632
h06,inner_r,9,0.5619251589294747,0.0037127743935353452,0.5577964592849033,0.5707505121925766,0.557471543725877,0.5719045600754392
h06,inner_t,9,0.012314256618631282,0.0449752782805915,-0.03659524997663019,0.05665402910425942,-0.03944186673547557,0.06422217072152658
h06,outer_r,9,0.8147189922044867,0.0009208695679397971,0.763627943559263,0.8155122234926918,0.7387018364506791,0.8156398617724265
h06,outer_t,9,0.0002348310550745186,0.02793843547155992,-0.04849545189431526,0.03234911673160002,-0.049741403625215265,0.04733995356414861
h06,radial_span,9,0.24425699198262585,0.009046519850490764,0.20389027289684172,0.2542764730758032,0.18082414827601923,0.2581683180465495
