source_id,image_index,physical_watch_id,provenance_class,model,image_url
bobs_175818,0,bobs_175818,established_dealer,126710BLNR,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126710-Black-Chromalight-Dial-SKU175818.jpg
wf_441391,0,wf_441391,established_dealer,126710BLNR,"https://www.watchfinder.com/media/catalog/product/W/a/Watch-1-fb19c5574d9e435bad01dce3d3e0b58b_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1280&width=1280"
wf_435502,0,wf_435502,established_dealer,126710BLNR,https://www.watchfinder.com/media/catalog/product/C/a/Catalogue-1-Rolex-GMTMasterII-126710BLNR-39491-190607-085458-_171.jpg?quality=80&bg-color=255
swe_75910,0,swe_75910,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/1/9/rolex-gmt-master-ii-steel-black-blue-batgirl-bezel-mens-watch-126710-75910_ca712.jpg
swe_68408,0,swe_68408,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/3/1/rolex-gmt-master-ii-black-blue-batman-bezel-steel-mens-watch-126710-68408_fce2c.jpg
swe_60177,0,swe_60177,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/3/25/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-60177_1c27c.jpg
swe_59259,0,swe_59259,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/2/23/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-59259_a10b3.jpg
swe_68784,0,swe_68784,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/3/13/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-unworn-68784_c0f62.jpg
swe_68351,0,swe_68351,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/2/20/rolex-gmt-master-ii-batgirl-black-blue-bezel-steel-mens-watch-126710-card-68351_f20d3.jpg
swe_42335,0,swe_42335,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/4/7/rolex-gmt-master-ii-black-blue-batman-steel-mens-watch-126710-unworn-42335_e5a07.jpg
swe_77497,0,swe_77497,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/2/26/rolex-gmt-master-ii-steel-batgirl-black-blue-bezel-mens-watch-126710-77497_ab4ee.jpg
swe_74119,0,swe_74119,established_dealer,126710BLNR,https://cdn.swisswatchexpo.com/productphotos/10/22/rolex-gmt-master-ii-steel-batman-bezel-mens-watch-126710-74119_e5cb6.jpg
