source_class,feature,n,median,mad,p10,p90,min,max
Chrono24,h07.angular_residual_deg,1,0.20873927207624376,0.0,0.20873927207624376,0.20873927207624376,0.20873927207624376,0.20873927207624376
Chrono24,h07.anisotropy,1,1.309356443837375,0.0,1.309356443837375,1.309356443837375,1.309356443837375,1.309356443837375
Chrono24,h07.area_norm,1,0.01945619032421402,0.0,0.01945619032421402,0.01945619032421402,0.01945619032421402,0.01945619032421402
Chrono24,h07.centre_r,1,0.7449877968060736,0.0,0.7449877968060736,0.7449877968060736,0.7449877968060736,0.7449877968060736
Chrono24,h07.centre_t,1,0.00271414229366973,0.0,0.00271414229366973,0.00271414229366973,0.00271414229366973,0.00271414229366973
Chrono24,h07.diameter_over_dial,1,0.15739247412339302,0.0,0.15739247412339302,0.15739247412339302,0.15739247412339302,0.15739247412339302
Chrono24,h07.inner_r,1,0.6617747988537581,0.0,0.6617747988537581,0.6617747988537581,0.6617747988537581,0.6617747988537581
Chrono24,h07.inner_t,1,0.0002650884713136792,0.0,0.0002650884713136792,0.0002650884713136792,0.0002650884713136792,0.0002650884713136792
Chrono24,h07.outer_r,1,0.8280183346456239,0.0,0.8280183346456239,0.8280183346456239,0.8280183346456239,0.8280183346456239
Chrono24,h07.outer_t,1,0.016470516388787493,0.0,0.016470516388787493,0.016470516388787493,0.016470516388787493,0.016470516388787493
Chrono24,h07.radial_span,1,0.1662435357918658,0.0,0.1662435357918658,0.1662435357918658,0.1662435357918658,0.1662435357918658
Chrono24,h07.segmentation_confidence,1,0.8545549161162954,0.0,0.8545549161162954,0.8545549161162954,0.8545549161162954,0.8545549161162954
Chrono24,h08.angular_residual_deg,1,0.20925894160470193,0.0,0.20925894160470193,0.20925894160470193,0.20925894160470193,0.20925894160470193
Chrono24,h08.anisotropy,1,1.2955409923850114,0.0,1.2955409923850114,1.2955409923850114,1.2955409923850114,1.2955409923850114
Chrono24,h08.area_norm,1,0.01786655912396178,0.0,0.01786655912396178,0.01786655912396178,0.01786655912396178,0.01786655912396178
Chrono24,h08.centre_r,1,0.7393855894280557,0.0,0.7393855894280557,0.7393855894280557,0.7393855894280557,0.7393855894280557
Chrono24,h08.centre_t,1,0.002700438586393128,0.0,0.002700438586393128,0.002700438586393128,0.002700438586393128,0.002700438586393128
Chrono24,h08.diameter_over_dial,1,0.15082575908967594,0.0,0.15082575908967594,0.15082575908967594,0.15082575908967594,0.15082575908967594
Chrono24,h08.inner_r,1,0.6607981072282738,0.0,0.6607981072282738,0.6607981072282738,0.6607981072282738,0.6607981072282738
Chrono24,h08.inner_t,1,0.011963076947597573,0.0,0.011963076947597573,0.011963076947597573,0.011963076947597573,0.011963076947597573
Chrono24,h08.outer_r,1,0.8235931664799129,0.0,0.8235931664799129,0.8235931664799129,0.8235931664799129,0.8235931664799129
Chrono24,h08.outer_t,1,0.036090401616568346,0.0,0.036090401616568346,0.036090401616568346,0.036090401616568346,0.036090401616568346
Chrono24,h08.radial_span,1,0.16279505925163906,0.0,0.16279505925163906,0.16279505925163906,0.16279505925163906,0.16279505925163906
Chrono24,h08.segmentation_confidence,1,0.8669625202387907,0.0,0.8669625202387907,0.8669625202387907,0.8669625202387907,0.8669625202387907
Chrono24,h09.angular_residual_deg,1,0.8926411882691809,0.0,0.8926411882691809,0.8926411882691809,0.8926411882691809,0.8926411882691809
Chrono24,h09.anisotropy,1,6.371757629170548,0.0,6.371757629170548,6.371757629170548,6.371757629170548,6.371757629170548
Chrono24,h09.area_norm,1,0.025277375001194046,0.0,0.025277375001194046,0.025277375001194046,0.025277375001194046,0.025277375001194046
Chrono24,h09.axis_residual_deg,1,2.3136836790034465,0.0,2.3136836790034465,2.3136836790034465,2.3136836790034465,2.3136836790034465
Chrono24,h09.centre_r,1,0.6889774526955222,0.0,0.6889774526955222,0.6889774526955222,0.6889774526955222,0.6889774526955222
Chrono24,h09.centre_t,1,0.01073481189800935,0.0,0.01073481189800935,0.01073481189800935,0.01073481189800935,0.01073481189800935
Chrono24,h09.diameter_over_dial,1,0.17939942429846392,0.0,0.17939942429846392,0.17939942429846392,0.17939942429846392,0.17939942429846392
Chrono24,h09.inner_r,1,0.5573325447818914,0.0,0.5573325447818914,0.5573325447818914,0.5573325447818914,0.5573325447818914
Chrono24,h09.inner_t,1,-0.036681710672866574,0.0,-0.036681710672866574,-0.036681710672866574,-0.036681710672866574,-0.036681710672866574
Chrono24,h09.outer_r,1,0.8167999121310848,0.0,0.8167999121310848,0.8167999121310848,0.8167999121310848,0.8167999121310848
Chrono24,h09.outer_t,1,0.004207007928917167,0.0,0.004207007928917167,0.004207007928917167,0.004207007928917167,0.004207007928917167
Chrono24,h09.radial_span,1,0.2594673673491934,0.0,0.2594673673491934,0.2594673673491934,0.2594673673491934,0.2594673673491934
Chrono24,h09.segmentation_confidence,1,0.8018635509751686,0.0,0.8018635509751686,0.8018635509751686,0.8018635509751686,0.8018635509751686
Chrono24,h10.angular_residual_deg,1,1.9074245569674986,0.0,1.9074245569674986,1.9074245569674986,1.9074245569674986,1.9074245569674986
Chrono24,h10.anisotropy,1,2.923617590987657,0.0,2.923617590987657,2.923617590987657,2.923617590987657,2.923617590987657
Chrono24,h10.area_norm,1,0.012202098649823521,0.0,0.012202098649823521,0.012202098649823521,0.012202098649823521,0.012202098649823521
Chrono24,h10.centre_r,1,0.7523972437320443,0.0,0.7523972437320443,0.7523972437320443,0.7523972437320443,0.7523972437320443
Chrono24,h10.centre_t,1,0.025057192797656447,0.0,0.025057192797656447,0.025057192797656447,0.025057192797656447,0.025057192797656447
Chrono24,h10.diameter_over_dial,1,0.1246442719490745,0.0,0.1246442719490745,0.1246442719490745,0.1246442719490745,0.1246442719490745
Chrono24,h10.inner_r,1,0.6572072296102895,0.0,0.6572072296102895,0.6572072296102895,0.6572072296102895,0.6572072296102895
Chrono24,h10.inner_t,1,0.017200569614447936,0.0,0.017200569614447936,0.017200569614447936,0.017200569614447936,0.017200569614447936
Chrono24,h10.outer_r,1,0.8229116967262624,0.0,0.8229116967262624,0.8229116967262624,0.8229116967262624,0.8229116967262624
Chrono24,h10.outer_t,1,-0.008806038608467348,0.0,-0.008806038608467348,-0.008806038608467348,-0.008806038608467348,-0.008806038608467348
Chrono24,h10.radial_span,1,0.16570446711597286,0.0,0.16570446711597286,0.16570446711597286,0.16570446711597286,0.16570446711597286
Chrono24,h10.segmentation_confidence,1,0.4724177867939221,0.0,0.4724177867939221,0.4724177867939221,0.4724177867939221,0.4724177867939221
Chrono24,h11.angular_residual_deg,1,0.4388638014319781,0.0,0.4388638014319781,0.4388638014319781,0.4388638014319781,0.4388638014319781
Chrono24,h11.anisotropy,1,1.0856257093909698,0.0,1.0856257093909698,1.0856257093909698,1.0856257093909698,1.0856257093909698
Chrono24,h11.area_norm,1,0.016769489704069388,0.0,0.016769489704069388,0.016769489704069388,0.016769489704069388,0.016769489704069388
Chrono24,h11.centre_r,1,0.745532184920418,0.0,0.745532184920418,0.745532184920418,0.745532184920418,0.745532184920418
Chrono24,h11.centre_t,1,0.0057106036492855505,0.0,0.0057106036492855505,0.0057106036492855505,0.0057106036492855505,0.0057106036492855505
Chrono24,h11.diameter_over_dial,1,0.14612178973804799,0.0,0.14612178973804799,0.14612178973804799,0.14612178973804799,0.14612178973804799
