marker,feature,n,median,mad,p10,p90,min,max
h02,angular_residual_deg,2,0.6127128521069434,0.5633669416450875,0.1620192987908734,1.0634064054230135,0.04934591046185588,1.1760797937520309
h02,anisotropy,2,1.5107302034126995,0.2782468952031971,1.2881326872501417,1.7333277195752572,1.2324833082095024,1.7889770986158966
h02,area_norm,2,0.013912374698752892,0.0033944551293454226,0.011196810595276553,0.01662793880222923,0.01051791956940747,0.017306829828098315
h02,centre_r,2,0.7256668095524822,0.015201159067984471,0.7135058822980946,0.7378277368068697,0.7104656504844977,0.7408679686204667
h02,centre_t,2,0.007611734122504127,0.006973662456607438,0.002032804157218177,0.013190664087790077,0.000638071665896689,0.014585396579111565
h02,diameter_over_dial,2,0.13208374014333854,0.016360660664293265,0.11899521161190392,0.14517226867477315,0.11572307947904527,0.1484444008076318
h02,inner_r,2,0.6526592639139277,0.011658559451257766,0.6433324163529215,0.661986111474934,0.64100070446267,0.6643178233651855
h02,inner_t,2,0.0011317032874820776,0.0023368562916601943,-0.0007377817458460778,0.003001188320810233,-0.0012051530041781167,0.003468559579142272
h02,outer_r,2,0.7968029732052977,0.024806634435385,0.7769576656569896,0.8166482807536057,0.7719963387699127,0.8216096076406827
h02,outer_t,2,-0.007678124060059299,0.015358189142107848,-0.019964675373745577,0.00460842725362698,-0.023036313202167147,0.007680065082048548
h02,radial_span,2,0.14414370929136994,0.013148074984127234,0.13362524930406816,0.1546621692786717,0.1309956343072427,0.15729178427549717
h02,segmentation_confidence,2,0.8101760474821643,0.07620491972339816,0.7492121117034458,0.8711399832608828,0.7339711277587662,0.8863809672055625
h04,angular_residual_deg,3,0.27467479774568204,0.17172770689703043,0.1372926322280577,1.6618688327226678,0.10294709084865161,2.0086673414669143
h04,anisotropy,3,1.503284555140887,0.12086182145954405,1.294059736349789,1.5999740123085224,1.2417535316520145,1.6241463766004312
h04,area_norm,3,0.017911337467630857,0.0019983117370853606,0.010285804613281307,0.019509986857299145,0.008379421399693918,0.019909649204716218
h04,centre_r,3,0.745914183469298,0.0017997039682930982,0.7170787155369008,0.7473539466439325,0.7098698485538015,0.7477138874375912
h04,centre_t,3,0.0035845525781041387,0.002244318122814337,0.001789098079852669,0.020634284492167677,0.0013402344552898016,0.02489671747068356
h04,diameter_over_dial,3,0.15101464552447944,0.008201411106909584,0.11283565168123263,0.1575757744100071,0.10329090322042093,0.15921605663138902
h04,inner_r,3,0.6623582782201123,0.0004965801571293893,0.6619610140944088,0.6640142789140453,0.6618616980629829,0.6644282790875286
h04,inner_t,3,0.00552143950371542,0.0006464957040503427,0.005004242940475146,0.04898966627723309,0.004874943799665077,0.05985672297061251
h04,outer_r,3,0.8287951222126606,0.0023712173301659867,0.800751786493747,0.8306920960767934,0.7937409525640186,0.8311663395428266
h04,outer_t,3,0.009438373206336781,0.002967359019144633,0.007064485991021075,0.0258212631289136,0.006471014187192148,0.0299169856095578
h04,radial_span,3,0.16643684399254832,0.00030121646274972047,0.13879077239933818,0.1666778171627481,0.13187925450103566,0.16673806045529804
